ts,switch_dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
Sat Oct 11 19:53:48 2025,2,1,104,112,7856,231880,0,0,0,0,0,0,0,0,22,584000000
Sat Oct 11 19:53:48 2025,2,2,115,103,239318,7790,0,0,0,0,0,0,0,0,22,584000000
Sat Oct 11 19:53:49 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,23,585000000
Sat Oct 11 19:53:49 2025,1,1,147,128,329758,9676,0,0,0,0,0,0,0,0,23,589000000
Sat Oct 11 19:53:49 2025,1,2,132,146,10020,319556,0,0,0,0,0,0,0,0,23,589000000
Sat Oct 11 19:53:49 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,23,581000000
Sat Oct 11 19:53:49 2025,2,1,134,144,10192,315080,0,0,0,0,0,0,0,0,23,585000000
Sat Oct 11 19:53:49 2025,2,2,146,132,319556,10020,0,0,0,0,0,0,0,0,23,585000000
Sat Oct 11 19:53:50 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,24,581000000
Sat Oct 11 19:53:50 2025,1,1,186,163,438036,12138,0,0,0,0,0,0,0,0,24,585000000
Sat Oct 11 19:53:50 2025,1,2,166,184,12376,424872,0,0,0,0,0,0,0,0,24,586000000
Sat Oct 11 19:53:50 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,24,582000000
Sat Oct 11 19:53:50 2025,2,1,168,179,12520,411510,0,0,0,0,0,0,0,0,24,588000000
Sat Oct 11 19:53:50 2025,2,2,185,166,427834,12376,0,0,0,0,0,0,0,0,24,588000000
Sat Oct 11 19:53:51 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,25,596000000
Sat Oct 11 19:53:51 2025,1,1,225,199,540522,14826,0,0,0,0,0,0,0,0,25,600000000
Sat Oct 11 19:53:51 2025,1,2,203,224,15142,530320,0,0,0,0,0,0,0,0,25,600000000
Sat Oct 11 19:53:51 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,25,594000000
Sat Oct 11 19:53:51 2025,2,1,207,220,15418,519920,0,0,0,0,0,0,0,0,25,598000000
Sat Oct 11 19:53:51 2025,2,2,224,203,530320,15142,0,0,0,0,0,0,0,0,25,598000000
Sat Oct 11 19:53:52 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,26,592000000
Sat Oct 11 19:53:52 2025,1,1,260,228,639848,16912,0,0,0,0,0,0,0,0,26,596000000
Sat Oct 11 19:53:52 2025,1,2,235,257,17450,623722,0,0,0,0,0,0,0,0,26,597000000
Sat Oct 11 19:53:52 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,26,591000000
Sat Oct 11 19:53:52 2025,2,1,240,254,17792,616284,0,0,0,0,0,0,0,0,26,595000000
Sat Oct 11 19:53:52 2025,2,2,258,235,626684,17450,0,0,0,0,0,0,0,0,26,595000000
Sat Oct 11 19:53:53 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,27,586000000
Sat Oct 11 19:53:53 2025,1,1,275,241,679934,17818,0,0,0,0,0,0,0,0,27,590000000
Sat Oct 11 19:53:53 2025,1,2,249,274,18430,669732,0,0,0,0,0,0,0,0,27,590000000
Sat Oct 11 19:53:53 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,27,582000000
Sat Oct 11 19:53:53 2025,2,1,255,270,18838,659332,0,0,0,0,0,0,0,0,27,586000000
Sat Oct 11 19:53:53 2025,2,2,274,249,669732,18430,0,0,0,0,0,0,0,0,27,586000000
Sat Oct 11 19:53:54 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,28,601000000
Sat Oct 11 19:53:54 2025,1,1,289,257,718506,18930,0,0,0,0,0,0,0,0,28,605000000
Sat Oct 11 19:53:54 2025,1,2,264,288,19468,708304,0,0,0,0,0,0,0,0,28,605000000
Sat Oct 11 19:53:54 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,28,622000000
Sat Oct 11 19:53:54 2025,2,1,269,284,19822,697904,0,0,0,0,0,0,0,0,28,626000000
Sat Oct 11 19:53:54 2025,2,2,288,264,708304,19468,0,0,0,0,0,0,0,0,28,627000000
Sat Oct 11 19:53:55 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,29,588000000
Sat Oct 11 19:53:55 2025,1,1,324,286,809144,21080,0,0,0,0,0,0,0,0,29,592000000
Sat Oct 11 19:53:55 2025,1,2,291,318,21462,787028,0,0,0,0,0,0,0,0,29,592000000
Sat Oct 11 19:53:55 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,29,585000000
Sat Oct 11 19:53:55 2025,2,1,295,311,21738,767742,0,0,0,0,0,0,0,0,29,589000000
Sat Oct 11 19:53:55 2025,2,2,319,291,789990,21462,0,0,0,0,0,0,0,0,29,589000000
Sat Oct 11 19:53:56 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,30,586000000
